id,location_name,lat,lon,geolocation_method,geolocation_confidence,observed_date,depth_band_low_m,depth_band_high_m,depth_cue,depth_confidence,source_url,source_publication_date,source_quote,retrieved_at_utc,in_bbmp_kml,notes
GT_01,RMZ Ecospace Outer Ring Road,12.9261,77.6844,NAMED_LANDMARK,HIGH,2022-09-05,0.85,1.1,car bonnet / waist on an adult,HIGH,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-updates-flooded-roads-homes-orr-techies-given-work-from-home-to-avoid-traffic/article65853050.ece,2022-09-05,Waterlogging on Outer Ring Road (ORR) near Eco Space in Bellandur. Many vehicles submerged waist deep as techies wade through floodwaters.,2026-08-17T06:57:12Z,False,ORR Bellandur stretch near RMZ Ecospace severely flooded on 5 Sept morning.
GT_02,Rainbow Drive Layout Sarjapur Road Main Gate,12.90622,77.68683,NAMED_LANDMARK,HIGH,2022-09-05,1.2,1.45,chest-deep on an adult,HIGH,https://citizenmatters.in/rainbow-drive-layout-or-lake-the-man-made-tragedy-of-bengalurus-flood-prone-neighbourhoods-40118,2022-09-05,"Rainbow Drive layout off Sarjapur Road is waterlogged with over 4 to 5 feet of water at the entrance, with fire and emergency services deploying boats and tractors to rescue stranded families.",2026-08-17T06:57:12Z,False,Rainbow Drive entrance inundated from Halanayakanahalli lake overflow.
GT_03,Divyasree 77 East Yemalur,12.94901,77.68873,NAMED_LANDMARK,HIGH,2022-09-05,0.85,1.1,car bonnet / waist on an adult,HIGH,https://indianexpress.com/article/cities/bangalore/two-of-bengalurus-most-coveted-gated-communities-among-worst-hit-by-flooding-8133543/,2022-09-06,"In upscale gated community Divyasree 77 East in Yemalur, luxury cars were submerged up to their bonnets and residents evacuated in tractors on Monday.",2026-08-17T06:57:12Z,False,Yemalur stormwater overflow flooded luxury villa layout.
GT_04,Epsilon Villa Layout Yemalur,12.94678,77.68782,NAMED_LANDMARK,HIGH,2022-09-05,1.2,1.45,chest-deep on an adult,HIGH,https://indianexpress.com/article/cities/bangalore/two-of-bengalurus-most-coveted-gated-communities-among-worst-hit-by-flooding-8133543/,2022-09-06,"Epsilon, home to top tech CEOs in Yemalur, was flooded under 4-5 feet of water after Bellandur stream overflowed into the layout.",2026-08-17T06:57:12Z,False,Epsilon gated community in Yemalur required boat and tractor rescues.
GT_05,Silk Board Junction,12.91604,77.62391,NAMED_LANDMARK,HIGH,2022-09-05,0.35,0.5,at car wheel centre / mid-hubcap,MEDIUM,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-updates-flooded-roads-homes-orr-techies-given-work-from-home-to-avoid-traffic/article65853050.ece,2022-09-05,Massive traffic jam on Marathahalli-Silk Board junction road in Bengaluru amid severe waterlogging caused due to heavy rainfall.,2026-08-17T06:57:12Z,False,Waterlogging near Silk Board flyover and Madiwala junction.
GT_06,Panathur Railway Underpass,12.93607,77.70752,NAMED_LANDMARK,HIGH,2022-09-05,1.2,1.45,chest-deep on an adult,HIGH,https://curlytales.com/avoid-these-5-roads-as-heavy-rains-batter-bengaluru/,2022-09-06,"Panathur railway underpass was completely submerged under several feet of water, shutting down vehicular connectivity between Panathur and Balagere.",2026-08-17T06:57:12Z,False,Railway underpass completely filled with water.
GT_07,Marathahalli Bridge Outer Ring Road,12.9567,77.70464,NAMED_LANDMARK,HIGH,2022-09-05,0.5,0.7,at car door sill,MEDIUM,https://indianexpress.com/article/cities/bangalore/after-heavy-overnight-rain-in-bengaluru-several-areas-waterlogged-traffic-hit-8131782/,2022-09-05,"Severe waterlogging was reported near Marathahalli bridge on Outer Ring Road, where cars and auto-rickshaws stalled in deep water.",2026-08-17T06:57:12Z,False,Marathahalli junction underpass and arterial road inundated.
GT_08,Balagere Road Varthur,12.93925,77.73894,NAMED_LANDMARK,MEDIUM,2022-09-05,0.6,0.8,two-wheeler seat submerged,MEDIUM,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-23-year-old-woman-electrocuted-city-receives-third-highest-single-day-rainfall-ever/article65855996.ece,2022-09-06,"Monday night’s downpour again caused floods in several parts of Mahadevapura zone, starting from Balagere road and Panathur to parts of Varthur.",2026-08-17T06:57:12Z,False,Balagere main road flooded from storm runoff to Varthur lake.
GT_09,Borewell Road Whitefield,12.96919,77.73799,NAMED_LANDMARK,HIGH,2022-09-05,0.5,0.7,at car door sill,MEDIUM,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-23-year-old-woman-electrocuted-city-receives-third-highest-single-day-rainfall-ever/article65855996.ece,2022-09-06,"In Whitefield, Borewell Road was inundated with water entering shops and apartment parking basements following heavy showers.",2026-08-17T06:57:12Z,False,Commercial and residential stretch on Borewell Road waterlogged.
GT_10,Manyata Tech Park Nagavara,13.04829,77.6211,NAMED_LANDMARK,HIGH,2022-09-05,0.35,0.5,at car wheel centre / mid-hubcap,HIGH,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-23-year-old-woman-electrocuted-city-receives-third-highest-single-day-rainfall-ever/article65855996.ece,2022-09-06,Waterlogging at Manyata Tech Park due to heavy rain in Bengaluru with internal roads submerged.,2026-08-17T06:57:12Z,False,North Bengaluru tech park internal service roads flooded.
