pdf,page,underpass_inferred,dimension_type,value_str,unit,verbatim_snippet,confidence,note
bbmp_14_underpasses.pdf,1,"Swanky/Cunningham? (1st underpass in 14-report, 2009-2011 U-shape)",drain_grating_or_pipe,03.00,m (interval),Up ramp and Down Ramp ಅನ್ನು Galvanized Coloured Sheet ಗಳಿಂದ ಸಂಪೂರ್ಣವಾಗಿ ಮುಚ್ಚುವುದು ಮತ್ತು ಬೆಳಕಿಗಾಗಿ ಪ್ರತಿ 03.00ಮೀ ಜಾಗದಲ್ಲಿ ಪಾರದರ್ಶಕ Fibre Plastic ಉಪಯೋಗಿಸುವುದು,high_vision,"English fragment on p01: transparent Fibre Plastic every 03.00m; ramp covering, not clearance"
bbmp_14_underpasses.pdf,1,"(same, 1st underpass)",clearance_gauge,-,-,Vertical Clearance Gauge Beam ಅನ್ನು ಅಳವಡಿಸಿ ಅತೀ ಪ್ರವಾಹ ಉಂಟಾದ/ತುರ್ತು ಸಂದರ್ಭಗಳಲ್ಲಿ ಒಂದು Boom Barrier ಅನ್ನು ಸಹ ನಿರ್ಮಿಸಿ,high_vision,Mentions Vertical Clearance Gauge Beam + Boom Barrier but no numeric height given in audit; plate shows gauge beam structure only
bbmp_14_underpasses.pdf,2,Kino Theatre Railway Underbridge (Anand Rao circle to Swastik circle),grating_size,2.85*1.98,m (60.72 sq units),"ಸದರಿ ಚರಂಡಿಯ ಗಾತ್ರವು 2.85ಮೀ * 1.98ಮೀ (60.72 ಚ.ಅ) ನಷ್ಟು ಇದ್ದು, ಸದರಿ ಚರಂಡಿಯು ಗಂಟೆಗೆ 50.00 ಲಕ್ಷ ಲೀಟರ್‍ಗೂ ಅಧಿಕ ಮಳೆ ನೀರನ್ನು ಹೊರ ಸಾಗಿಸುವ ಸಾಮರ್ಥ್ಯವಿರುತ್ತದೆ. ಸದರಿ ಪೈಪ್‍ಲೈನ್ ಉದ್ದವು ಸುಮಾರು 900 ಮೀಟರ್‍ನಷ್ಟು ಇದ್ದು",high_vision,"Drain (charandi) size, not road clearance; capacity 50.00 lakh litres/hr; pipeline ~900m; no inspection chambers"
bbmp_14_underpasses.pdf,2,Kino Theatre Railway Underbridge,pipe_diameter,1.20,m,ಸದರಿ 1.20ಮೀ ವ್ಯಾಸದ ಕೊಳವೆಯನ್ನು ಪ್ರತಿ ಮಳೆಗೆ ಪರಿಶೀಲಿಸಲು ಕ್ರಮಕೈಗೊಳ್ಳಲಾಗಿರುವುದು ಕಂಡುಬಂದಿರುತ್ತದೆ,high_vision,Recommendation: inspect 1.20m dia pipe each rain
bbmp_14_underpasses.pdf,3,"Kaveri/Cauvery Chithramandira (Swastik/Ballary road) underpass, 2009+2011",drain_chamber,1.00*1.00,m,"ಗಾತ್ರವು 1.00ಮೀ * 1.00ಮೀ ಇದ್ದು, ಪೈಪ್‍ಗಳ ಮುಖಾಂತರ ಮಳೆ ನೀರು ಸೆಳೆಯುವ ವ್ಯವಸ್ಥೆ ಕಲ್ಪಿಸಲಾಗಿರುತ್ತದೆ",high_vision,"inspection chamber 1.00*1.00m, pipe-extracted to road-side drain; Y-shape, single drain at one low point"
bbmp_14_underpasses.pdf,5,Kodigehalli Railway Vehicle Underpass (2014-15 to 2022),pipeline,450.00,"m length, 1.20m dia","ಕಳೆಸೇತುವೆಯಿಂದ ಸುಮಾರು 450.00ಮೀ ದೂರದಲ್ಲಿರುವ ರಾಜಕಾಲುವೆಗೆ ಸಂಪರ್ಕಿಸಲು 1.20ಮೀ ವ್ಯಾಸದ ಕೊಳವೆಗಳನ್ನು ಹಾಕಲು ಸೂಚಿಸಲಾಗಿದು, ಅದರಂತೆ ಪ್ರಸ್ತುತ 1.20ಮೀ ವ್ಯಾಸದ ಕೊಳವೆಗಳನ್ನು 450.00ಮೀ ದೂರದ ರಾಜಕಾಲುವೆಗೆ ಸಂಪರ್ಕಿಸಲಾಗಿರುತ್ತದೆ",high_vision,"Existing 450m, 1.20m dia connection to rajakaluve; no water stagnation at connection low level"
bbmp_14_underpasses.pdf,7,Yelahanka Railway Vehicle Underpass,chamber,1.20*1.20,m,"ಸದರಿ ಪ್ರದೇಶದಲ್ಲಿ 1.20ಮೀ * 1.20ಮೀ ಅಗಲದ ನೀರು ಹರಿಯುವ ಪರಿವೀಕ್ಷಣಾ ಚೇಂಬರ್ ನಿರ್ಮಿಸಲಾಗಿದ್ದು, ರಾಜಕಾಲುವೆಗೆ ಸಂಪರ್ಕಿಸಿರುವ ಹಿನ್ನಲೆಯಲ್ಲಿ ಯಾವುದೇ ನೀರು ನಿಲ್ಲುವಿಕೆಯಾಗುತ್ತಿಲ್ಲದಿರುವುದು ಕಂಡುಬಂದಿರುತ್ತದೆ",high_vision,"Inspection chamber 1.20*1.20m on drain line, connected to rajakaluve; concrete joint holes for slow percolation; no stagnation"
bbmp_14_underpasses.pdf,8,RMV Badavane (Fairfields) Railway Underpass,drain_connection,-,-,"ಸದರಿ ಚರಂಡಿಯು ಪಕ್ಕದಲ್ಲಿಯೇ ಇರುವ ರಾಜಕಾಲುವೆಗೆ ನೇರವಾಗಿ ಸಂಪರ್ಕ ಹೊಂದಿದ್ದು, ನೀರು ನಿಲ್ಲುವಿಕೆಗೆ ಯಾವುದೇ ಆಸ್ಪದವಿರುವುದಿಲ್ಲ",high_vision,"Direct connection to rajakaluve, no stagnation; Y-shape near RMV-Horamavu; no dimensions quoted besides shape"
bbmp_kr_circle.pdf,1,"KR Circle Underpass (21.05.2023 flood, 4-page report)",rainfall,24.7,mm,ದಿನಾಂಕ:21.05.2023ರಂದು ಸುಮಾರು 2.30 ಗಂಟೆಗೆ ಅಸುಪಾಸಿನಲ್ಲಿ ಸುರಿದ ಗಾಳಿಸಹಿತ ಮಳೆಯು ಅತ್ಯಂತ ಕಡಿಮೆ ಅವಧಿಯಲ್ಲಿ ಅಂದರೆ 01 ಗಂಟೆಗೂ ಕಡಿಮೆ ಅವಧಿಯಲ್ಲಿ 24.7 ಮಿ.ಮೀ ಮಳೆಯಾಗಿದ್ದು,high_vision,"24.7 mm in <1 hr, wind-driven, overloaded 4 converging roads' drains; leaves/litter blocked grating at invert; post-event sump pumping"
bbmp_kr_circle.pdf,2,KR Circle Underpass,drain,0.6*0.6,m,(01 ಮೀಟರ್ ಪ್ರತಿ ಸೆಕೆಂಡ್) ಚರಂಡಿಯಲ್ಲಿ ಇರುವ ಗಾತ್ರ 0.6*0.6 ಅಳತೆಯ ಚರಂಡಿಯಲ್ಲಿ ಸರಾಗವಾಗಿ ಗಂಟೆಗೆ 12.50 ಲಕ್ಷಕ್ಕೂ ಅಧಿಕ ಲೀಟರ್ ಮಳೆ ನೀರನ್ನು ಹೊರಚೆಲ್ಲುವ ಸಾಮರ್ಥ್ಯವಿರುತ್ತದೆ,high_vision,"0.6*0.6m drain at invert, 1 m/s velocity => capacity 12.50 lakh litres/hr; but if grating blocked, inflow ~0"
